Year,Month,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Data_Reliability,Region_Europe,Region_Middle East,Region_North America,Model_Model 3,Model_Model S,Model_Model X,Model_Model Y,Quarter,is_quarter_end,years_active,lag_1_deliveries,lag_3_deliveries,lag_12_deliveries,rolling_mean_3,rolling_mean_6,rolling_std_3,production_efficiency,price_per_km
2015,-1.5932550136313832,6367.0,-0.904702782404601,0.996795797478002,-0.2428663803205408,-0.341407192636721,-0.8656470328655286,Estimated (Region),0.0685709276472619,-1.231731493222399,False,False,True,False,False,False,False,0,0,12,8795.0,8833.0,10348.0,5774.333333333333,7603.0,3356.4757310806426,66812.0241142004,1.5135236618643644
2015,-1.5932550136313832,8803.0,-0.3079602897948066,0.8937243732717074,-1.298917841652951,-1.359234438257324,-0.8506394293604461,Interpolated (Month),-1.4440085159287328,-0.0055734456706894,False,True,False,False,False,False,False,0,0,12,6367.0,2161.0,12446.0,7988.333333333333,7854.833333333333,1404.1215521931613,12720.36831150898,-2.487858284431855
2015,-1.5932550136313832,11446.0,0.4920784257103779,0.2178021985353588,0.6211757244059766,0.7260701625263504,0.7516912490208795,Estimated (Region),-0.0020564715667877,-1.231731493222399,False,True,False,True,False,False,False,0,0,12,8803.0,8795.0,10835.0,8872.0,7734.166666666667,2540.2029446483207,7671.178540464832,0.1261838616204188
2015,-1.5932550136313832,9446.0,-0.2647657112581417,1.2786131930839753,-0.5788827543808531,-0.5400076308065948,-0.3616747174250416,Estimated (Region),0.7390988075324847,-1.231731493222399,False,False,True,True,False,False,False,0,0,12,11446.0,6367.0,8122.0,9898.333333333334,7836.333333333333,1378.3382506965888,12847.605375103094,2.779640008650618
2015,-1.5932550136313832,13902.0,1.119104073924682,0.4831981681942431,-0.5788827543808531,-0.457257448235814,0.5206874199747232,Official (Quarter),-0.0767197221644974,1.2205846018810202,False,True,False,False,True,False,False,0,0,12,9446.0,8803.0,7597.0,11598.0,9793.166666666666,2231.8853017124334,6560.319604432089,0.8902898190377856
2015,-1.5932550136313832,9537.0,-0.1321301847732739,-0.7909218759021398,-0.2428663803205408,-0.1345317362097692,-0.1463580814766507,Official (Quarter),-0.4759807340480028,1.2205846018810202,False,False,False,False,True,False,False,0,0,12,13902.0,11446.0,7419.0,10961.666666666666,9916.833333333334,2546.809834544647,10988.975342469437,-0.9138658330906062
2015,-1.5932550136313832,4350.0,-1.3897027783651972,-1.573393701751702,-0.2428663803205408,-0.2090069005234718,-1.2293124136500089,Interpolated (Month),-1.1202755799394355,-0.0055734456706894,True,False,False,False,True,False,False,0,0,12,9537.0,9446.0,11325.0,9263.0,9580.666666666666,4781.891153089957,-11162.353058523848,-1.989137076913767
2015,-1.5932550136313832,11986.0,0.6211926550319307,0.3478599516800967,-0.2428663803205408,-0.3579572291508772,0.2196292304161627,Estimated (Region),-1.1707237222351854,-1.231731493222399,False,False,True,False,True,False,False,0,0,12,4350.0,13902.0,7292.0,8624.333333333334,10111.166666666666,3898.9542615082487,7393.322417787494,0.541801835444764
2015,-1.3035722838802226,3797.0,-1.523981576859612,-1.1283456721462235,-0.5788827543808531,-0.5151825760353606,-1.4005689910061196,Official (Quarter),-0.3724899735670075,1.2205846018810202,False,False,False,False,False,True,False,0,0,12,11986.0,9537.0,12170.0,6711.0,8836.333333333334,4576.644076176342,-7246.437981191297,-2.327362046766125
2015,-1.3035722838802226,5325.0,-1.2070648321612554,0.7986203650868374,-0.2428663803205408,-0.2834820648371745,-1.052958914348775,Interpolated (Month),0.4770567426934187,-0.0055734456706894,True,False,False,False,False,False,False,0,0,12,3797.0,4350.0,8833.0,7036.0,8149.5,4354.373778168338,-25716.58327693745,1.114585310283063
