Year,Month,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Data_Reliability,Region_Europe,Region_Middle East,Region_North America,Model_Model 3,Model_Model S,Model_Model X,Model_Model Y
2023,-0.43452409462674085,17646.0,1.7057521813329732,0.39598155394848666,1.5812225074354402,1.6859722803474069,3.1695577548548104,Interpolated (Month),0.9440624028026452,-0.0055734456706894205,True,False,False,False,True,False,False
2015,-1.3035722838802226,3797.0,-1.5239815768596119,-1.1283456721462237,-0.5788827543808531,-0.5151825760353606,-1.4005689910061196,Official (Quarter),-0.3724899735670075,1.2205846018810202,False,False,False,False,False,True,False
2019,-1.5932550136313832,8411.0,-0.3443470271490624,1.639209098020189,-0.2428663803205408,-0.16763180923808152,-0.3921429841636619,Interpolated (Month),1.4814071870270886,-0.0055734456706894205,False,False,True,False,False,True,False
2021,-1.3035722838802226,6555.0,-0.7852134319961095,0.21807606292885934,1.5812225074354402,1.7521724264040315,-0.12461121451079518,Official (Quarter),0.11555976875701746,1.2205846018810202,False,False,True,True,False,False,False
2016,1.5932550136313832,12374.0,0.6763596439238668,1.4880846619017716,1.5812225074354402,1.3301464952930497,1.3671162576613756,Estimated (Region),-0.060576316629857484,-1.231731493222399,False,True,False,False,False,False,True
2020,-0.7242068243779014,4656.0,-1.3176335630893485,0.10056090138116786,-0.2428663803205408,-0.19245686400931572,-1.1636187530239872,Official (Quarter),-0.903492705617128,1.2205846018810202,False,False,False,False,False,True,False
2015,1.3035722838802226,7717.0,-0.6291025910891413,0.13324768536326176,-0.2428663803205408,-0.20900690052347187,-0.5500059832973125,Interpolated (Month),0.2965965308240509,-0.0055734456706894205,False,False,False,True,False,False,False
2020,-0.14484136487558028,8410.0,-0.34364276771639934,-0.5512940108106129,0.6211757244059766,0.7591702355546627,0.007738858664214976,Official (Quarter),-0.20644351663928256,1.2205846018810202,True,False,False,False,False,False,False
2022,-0.7242068243779014,15145.0,1.1982158835271606,-0.7412470499864042,0.6211757244059766,0.5191947060993986,1.514700464205696,Interpolated (Month),1.248769182268974,-0.0055734456706894205,True,False,False,False,True,False,False
2021,-1.013889554129062,7790.0,-0.5746398616298681,-1.7056006193927993,-0.2428663803205408,-0.12625671795269114,-0.5022081819452763,Interpolated (Month),-1.599677069298475,-0.0055734456706894205,False,True,False,False,False,False,True
2020,1.3035722838802226,8319.0,-0.3525633871967976,1.6421634536553318,1.5812225074354402,1.4046216596067522,0.26046123844319835,Estimated (Region),0.35540465098595353,-1.231731493222399,False,False,False,True,False,False,False
2025,-0.43452409462674085,5937.0,-0.9795890354111015,-0.3017061301449552,-0.2428663803205408,-0.19245686400931572,-0.9041004773181739,Interpolated (Month),1.7319182479128403,-0.0055734456706894205,False,False,False,False,False,False,False
2020,1.013889554129062,8724.0,-0.3053780052083756,0.7104226105275253,-0.2428663803205408,-0.3910573021791895,-0.4283594462070593,Estimated (Region),-1.039846827365069,-1.231731493222399,False,True,False,False,True,False,False
2020,1.3035722838802226,10737.0,0.23525848593259865,-0.32759203119372693,-0.5788827543808531,-0.6144827951202975,-0.16419730828457885,Interpolated (Month),-0.9602829000872006,-0.0055734456706894205,False,False,False,False,True,False,False
2020,-0.7242068243779014,4408.0,-1.3260846762813048,0.3085845172438542,1.5812225074354402,1.363246568321362,-0.8618809738727439,Estimated (Region),-0.15426572375053565,-1.231731493222399,False,False,True,False,False,False,False
2025,-1.013889554129062,17079.0,1.936279768958,1.3336246469362067,1.5812225074354402,1.5039218786916893,2.84040986213202,Official (Quarter),-1.449485742806557,1.2205846018810202,False,False,True,False,False,False,False
2023,1.3035722838802226,12540.0,0.6566403798093025,-1.4358834572891077,0.6211757244059766,0.7591702355546627,1.046208388749866,Interpolated (Month),0.7736918193924274,-0.0055734456706894205,True,False,False,False,True,False,False
2020,0.14484136487558028,16546.0,1.6977705744294591,0.6214738412702493,0.6211757244059766,0.7012451077551162,2.004316449500755,Official (Quarter),1.596717226560231,1.2205846018810202,True,False,False,False,True,False,False
2017,-1.5932550136313832,6472.0,-0.902824757250833,-1.348817940639765,0.6211757244059766,0.7426201990405065,-0.48507686096305963,Estimated (Region),1.568177991775778,-1.231731493222399,True,False,False,False,True,False,False
2021,-1.5932550136313832,7808.0,-0.5805086902353933,0.8549941824646292,-1.298917841652951,-1.1689090183445283,-0.9163614062194961,Interpolated (Month),-0.19491251268596832,-0.0055734456706894205,False,False,False,True,False,False,False
2019,-0.43452409462674085,13977.0,0.8599366027046926,-1.3720765328245788,-0.5788827543808531,-0.6889579594340001,0.3686292486119062,Official (Quarter),1.3240089830643493,1.2205846018810202,False,True,False,True,False,False,False
2016,0.7242068243779014,13993.0,1.0155779373232188,1.6715176409796813,-1.298917841652951,-1.2516592009153091,-0.032696722100422286,Interpolated (Month),-1.273349657419682,-0.0055734456706894205,False,False,False,False,True,False,False
